id,NAME,neighbourhood group,neighbourhood,lat,long,price,review rate number,number of reviews,occupancy_proxy,estimated_revenue,potential_gain_at_70pct
7209740,West Village 2 Bed/2 Bath Loft Apt!,Manhattan,West Village,40.73406,-74.00963,558.0,5.0,2.0,0.005479452054794521,1116.0,141453.0
35324572,Luxurious Home Away,Queens,Springfield Gardens,40.67373,-73.75516,558.0,5.0,43.0,0.005479452054794521,1116.0,141453.0
35304689,Two blocks from the Empire State Building.,Manhattan,Kips Bay,40.74363,-73.98137,619.0,5.0,11.0,0.07397260273972603,16713.0,141441.49999999997
1888882,AMAZING COLUMBUS CIRCLE LOCATION :),Manhattan,Hell's Kitchen,40.76761,-73.98619,1126.0,5.0,3.0,0.3561643835616438,146380.0,141313.0
8364600,Glam Hipster Digs,Brooklyn,Bushwick,40.69966,-73.93241,745.0,5.0,41.0,0.18082191780821918,49170.0,141177.5
41347956,Elegant Queen size bed room.,Queens,Ditmars Steinway,40.77114,-73.90968,680.0,5.0,2.0,0.13150684931506848,32639.999999999996,141099.99999999997
15589788,Private ROOM & BATH (City Central) Time Square NYC,Manhattan,Hell's Kitchen,40.76181,-73.9905,714.0,5.0,62.0,0.1589041095890411,41412.0,141014.99999999997
47161465,Private ROOM & BATH (City Central) Time Square NYC,Manhattan,Hell's Kitchen,40.76181,-73.9905,714.0,5.0,62.0,0.1589041095890411,41412.0,141014.99999999997
42331602,2 Bedroom Refuge with Private Bath & Living Room,Bronx,City Island,40.83988,-73.78287,565.0,5.0,6.0,0.01643835616438356,3389.9999999999995,140967.5
24322756,2 Bedroom Refuge with Private Bath & Living Room,Bronx,City Island,40.83988,-73.78287,565.0,5.0,6.0,0.01643835616438356,3389.9999999999995,140967.5
32373633,Cozy Brownstone Upper West Side Apt.,Manhattan,Upper West Side,40.78704,-73.98613,651.0,5.0,134.0,0.10684931506849316,25389.000000000004,140941.5
33502534,NYC Sunny Modern Private Bath - Clean Near All!,Manhattan,East Harlem,40.79848,-73.94188,1114.0,5.0,43.0,0.35342465753424657,143706.0,140921.0
32981163,Mott Haven Dorm AA,Bronx,Port Morris,40.80912,-73.93095,772.0,5.0,61.0,0.2,56356.0,140890.0
1178624,Eveland the Place to Stay & Enjoy a 5-⭐️ 2bdrm,Brooklyn,South Slope,40.66552,-73.99019,1038.0,5.0,398.0,0.3287671232876712,124559.99999999999,140648.99999999994
26404375,New! Modern 2/1 Steps to Central Park!,Manhattan,Upper West Side,40.7997,-73.95946,652.0,5.0,5.0,0.1095890410958904,26080.0,140506.0
5469995,Quiet Park Slope Apartment,Brooklyn,South Slope,40.66586,-73.97948,778.0,5.0,183.0,0.2054794520547945,58350.0,140428.99999999997
49958313,"RENOVATED 2-Bedroom, Near subway, comfy & cosy!",Brooklyn,Bushwick,40.68312,-73.9086,572.0,5.0,42.0,0.0273972602739726,5719.999999999999,140426.0
11395622,"RENOVATED 2-Bedroom, Near subway, comfy & cosy!",Brooklyn,Bushwick,40.68312,-73.9086,572.0,5.0,42.0,0.0273972602739726,5719.999999999999,140426.0
42967299,"RENOVATED 2-Bedroom, Near subway, comfy & cosy!",Brooklyn,Bushwick,40.68312,-73.9086,572.0,5.0,42.0,0.0273972602739726,5719.999999999999,140426.0
29883312,Lovely private bedroom close to G train,Brooklyn,Bedford-Stuyvesant,40.69424,-73.9442,690.0,5.0,7.0,0.14246575342465753,35880.0,140414.99999999997
16487828,Alluring Two- Bedroom in Highland Park,Brooklyn,Cypress Hills,40.67842,-73.88768,791.0,5.0,64.0,0.2136986301369863,61698.00000000001,140402.49999999997
